budget,urgency,views,saves,bedrooms,preapproved,open_house,agent_response_hours,converted
200000,50,33,11,2,0,0,9,0
5000000,8,3,7,3,1,0,44,1
500000,8,39,18,1,0,1,41,1
750000,30,30,18,4,0,0,63,1
300000,89,5,1,3,0,1,35,0
100000,30,14,13,6,0,0,44,1
2000000,19,41,7,6,0,0,35,1
1000000,36,9,5,2,1,0,46,0
5000000,1,44,16,6,1,0,27,1
5000000,27,21,4,6,0,1,40,1
750000,6,44,15,4,1,1,23,1
200000,62,35,16,3,1,1,40,1
2000000,20,40,19,3,0,1,39,1
500000,9,22,16,4,0,0,55,1
200000,14,19,10,5,1,1,64,1
500000,28,22,5,4,1,0,38,0
200000,51,4,17,5,0,0,10,0
200000,48,10,16,6,0,1,7,0
200000,87,7,17,2,0,1,36,0
1000000,24,27,8,4,0,1,9,1
300000,9,45,16,2,1,0,9,1
100000,57,3,20,4,0,0,47,0
100000,51,38,17,2,1,0,42,1
2000000,90,30,15,4,0,0,32,1
200000,54,21,4,3,0,0,36,0
300000,76,32,5,2,0,0,72,0
5000000,54,17,3,2,0,1,35,0
200000,22,20,3,3,1,0,60,1
200000,30,30,4,4,0,0,48,1
2000000,53,41,17,5,0,0,28,1
500000,46,21,0,4,0,0,49,0
200000,39,10,4,1,1,1,0,0
500000,5,43,18,1,1,0,45,1
200000,24,10,12,4,1,0,23,0
2000000,77,44,15,2,0,1,28,1
750000,60,29,5,2,0,1,6,1
100000,29,10,14,4,0,1,52,0
2000000,77,18,2,6,0,1,8,0
100000,40,33,19,1,1,1,66,1
5000000,58,22,4,2,1,1,56,1
200000,8,29,0,4,0,1,11,0
500000,52,15,8,4,1,0,56,0
2000000,20,1,4,3,1,0,15,0
1000000,45,21,7,3,0,1,22,0
500000,78,35,15,4,0,0,31,1
300000,52,6,14,2,0,1,40,0
2000000,20,29,15,2,0,0,8,1
500000,89,39,12,2,0,0,4,0
5000000,54,42,0,1,1,1,53,1
5000000,50,27,9,5,0,1,31,1
1000000,36,2,18,5,1,1,62,1
1000000,68,47,6,5,0,1,37,1
300000,30,13,1,2,1,0,27,1
5000000,49,8,2,6,1,1,66,0
300000,48,45,19,3,0,1,46,0
200000,87,17,0,6,1,1,47,0
500000,62,21,19,6,0,1,42,1
100000,63,39,6,1,1,1,49,1
2000000,21,12,10,1,1,1,8,1
1000000,57,9,11,4,1,0,62,0
100000,29,40,18,1,0,0,62,0
300000,26,35,0,6,0,0,22,0
500000,69,43,6,5,0,1,11,1
1000000,54,16,3,3,1,0,72,0
300000,77,7,0,2,1,0,21,0
5000000,76,31,10,2,0,1,42,1
200000,50,20,13,6,1,0,22,1
200000,21,3,20,1,1,1,71,1
5000000,54,36,13,1,0,1,46,1
200000,9,32,2,4,0,0,48,0
200000,73,10,16,1,0,0,62,0
500000,39,41,18,6,0,1,61,0
1000000,43,35,18,1,1,1,33,0
100000,73,25,8,1,1,1,0,1
1000000,55,31,19,2,1,0,70,0
500000,82,43,12,4,1,1,69,1
5000000,69,41,19,4,0,0,44,1
750000,80,15,7,3,0,1,2,1
500000,39,31,3,3,0,1,18,1
5000000,13,42,10,1,1,1,6,1
5000000,32,37,6,6,1,0,17,1
5000000,47,39,2,6,1,1,35,1
750000,59,10,4,1,0,0,0,1
1000000,11,16,9,6,1,1,66,0
100000,54,20,5,6,1,1,58,0
2000000,61,49,4,3,0,0,37,1
1000000,40,15,0,1,0,0,60,0
300000,42,33,2,4,0,0,13,0
5000000,0,17,17,2,0,0,66,0
500000,19,5,1,1,1,0,55,0
500000,3,34,3,5,1,1,45,1
1000000,7,5,11,4,1,1,63,1
5000000,56,30,20,2,1,0,14,0
750000,23,16,6,6,1,0,56,1
1000000,65,36,13,5,1,1,57,0
5000000,86,6,8,3,1,1,22,0
750000,8,11,10,4,1,1,50,1
500000,15,43,10,1,1,1,68,1
500000,33,7,6,3,1,1,28,1
5000000,35,10,7,6,1,0,47,1
750000,47,25,2,4,0,1,0,0
500000,24,36,1,4,0,0,2,1
200000,65,18,17,1,1,0,5,1
750000,43,32,1,6,1,1,44,1
200000,44,28,10,3,0,1,48,0
200000,58,45,17,5,1,0,34,0
100000,13,35,13,5,1,1,60,1
750000,10,33,1,1,1,1,42,0
2000000,3,28,19,5,1,1,69,1
1000000,40,12,2,2,0,1,69,0
1000000,75,27,9,5,0,1,59,1
200000,85,27,13,2,0,0,71,0
200000,36,46,13,5,0,0,59,0
300000,89,12,16,4,1,0,42,1
1000000,3,23,4,1,1,1,7,1
300000,81,46,20,3,1,0,63,1
100000,36,45,9,6,0,0,63,0
300000,17,35,8,6,0,0,5,1
2000000,2,19,11,4,0,1,35,0
500000,2,42,0,1,1,1,63,1
5000000,63,5,3,1,0,1,3,0
100000,88,29,4,4,1,1,3,1
2000000,84,5,4,2,0,1,49,0
100000,34,39,18,4,0,0,43,0
1000000,52,50,5,4,0,1,44,1
300000,87,11,13,3,0,0,58,0
200000,78,16,18,3,1,1,7,1
750000,48,22,3,1,0,0,32,1
750000,14,22,19,5,1,1,49,1
500000,19,29,12,3,1,0,34,1
2000000,8,4,7,1,1,1,26,1
100000,73,31,6,5,1,1,58,1
200000,64,32,17,1,0,1,3,0
100000,83,37,20,5,0,0,57,0
2000000,55,2,13,4,0,0,52,0
500000,6,39,8,1,0,0,39,1
5000000,31,13,7,5,0,0,11,1
200000,4,47,5,6,1,1,3,1
750000,7,44,7,6,0,1,11,0
750000,15,7,6,6,0,0,47,1
1000000,28,38,1,3,1,1,60,0
1000000,52,17,19,4,1,0,53,1
5000000,70,34,18,1,0,0,67,0
300000,47,13,2,5,0,1,27,0
500000,39,25,12,6,0,1,5,1
2000000,51,2,15,1,0,1,32,0
5000000,75,37,6,4,1,1,2,1
100000,67,18,17,2,0,0,11,0
100000,53,5,18,4,1,0,27,0
750000,8,43,12,5,1,1,18,0
100000,69,17,20,4,0,1,13,0
200000,25,18,19,5,1,1,64,1
100000,35,43,3,4,1,1,5,0
2000000,22,7,10,1,0,0,3,1
5000000,83,43,11,2,0,1,7,0
300000,20,28,11,1,0,0,28,0
750000,32,12,8,3,1,0,38,0
100000,16,19,14,5,0,1,24,1
500000,55,41,14,1,0,0,11,0
750000,88,15,9,3,1,1,23,1
2000000,15,42,20,3,1,1,41,1
100000,49,4,2,1,0,1,9,0
300000,26,6,5,2,0,1,66,0
1000000,15,13,1,5,0,1,30,1
200000,48,12,19,2,0,0,10,0
1000000,66,32,3,4,1,0,22,1
200000,86,24,18,2,1,0,60,1
200000,2,32,12,1,0,1,72,0
5000000,20,37,3,1,1,0,30,1
200000,42,14,17,6,0,0,69,0
500000,10,10,5,4,0,0,60,1
100000,65,20,10,2,0,1,50,0
100000,59,2,14,2,0,1,11,0
100000,18,44,13,6,0,0,11,1
5000000,55,23,4,4,1,1,48,1
100000,9,43,18,5,1,0,45,0
1000000,88,50,8,1,1,0,58,0
100000,58,39,6,1,1,1,69,1
200000,59,48,9,5,1,1,69,1
200000,90,29,2,2,0,1,65,0
300000,85,12,5,3,0,1,51,0
100000,37,32,15,4,0,1,36,0
750000,64,31,17,6,1,1,63,0
200000,8,48,17,4,1,0,2,1
200000,26,48,15,2,1,0,58,1
300000,41,49,9,5,0,0,58,0
750000,83,20,5,2,1,0,65,1
5000000,11,31,2,5,1,0,48,1
1000000,72,13,1,6,1,0,38,1
200000,22,37,5,2,0,0,29,1
5000000,78,32,0,4,0,1,49,0
500000,33,17,11,4,0,1,56,0
200000,49,46,0,2,1,1,58,0
500000,2,15,6,4,0,0,71,1
750000,3,34,19,2,0,1,66,0
100000,15,29,5,6,1,1,54,1
100000,5,17,17,4,0,0,41,1
100000,53,36,20,5,0,0,40,0
300000,64,15,11,3,1,1,20,0
750000,11,23,7,4,1,0,21,0
200000,65,26,3,3,1,0,72,1
750000,3,13,1,4,0,1,13,1
100000,39,36,17,6,1,0,72,0
750000,42,28,10,2,0,1,42,0
200000,64,22,16,1,0,1,32,0
1000000,24,15,2,4,0,0,49,0
300000,9,0,12,5,1,1,48,1
1000000,61,17,6,3,1,1,33,0
750000,88,2,18,1,0,0,56,0
2000000,64,3,13,4,1,0,1,1
5000000,6,42,13,4,0,0,13,1
750000,84,24,6,1,0,0,55,0
200000,85,35,14,1,0,0,51,0
1000000,6,32,9,2,1,0,61,1
300000,90,33,20,3,1,1,59,0
200000,34,27,13,1,1,1,59,0
200000,19,47,8,5,1,1,17,0
2000000,42,37,15,2,0,1,26,1
200000,19,45,14,4,0,0,67,0
750000,6,33,15,6,1,1,64,0
300000,39,18,9,6,1,0,29,1
1000000,83,26,5,5,1,1,7,0
300000,48,49,12,2,1,0,41,1
2000000,70,37,11,3,1,1,4,1
200000,13,15,18,4,1,1,55,1
2000000,33,37,12,6,1,0,45,1
500000,26,4,12,2,0,0,43,1
1000000,2,26,8,3,1,0,31,1
2000000,7,27,10,4,0,0,55,1
500000,70,17,15,3,0,1,62,1
300000,24,21,19,2,1,0,44,1
5000000,68,33,15,6,1,1,6,0
1000000,23,15,14,6,0,0,36,0
5000000,10,22,13,1,1,0,25,1
500000,38,50,9,2,0,1,3,1
100000,24,50,20,5,1,1,71,0
5000000,51,33,15,5,1,0,2,1
1000000,74,38,16,4,0,1,49,1
200000,11,25,12,2,0,1,28,1
750000,38,40,5,3,0,1,28,0
200000,80,48,4,3,1,1,59,0
750000,70,38,14,6,1,0,9,1
1000000,34,13,11,6,1,0,20,0
2000000,32,36,19,5,1,1,65,0
5000000,82,14,17,6,0,1,16,1
300000,67,2,1,1,1,1,58,0
1000000,82,15,13,1,1,1,69,1
2000000,20,36,14,1,1,1,39,1
750000,48,35,16,3,0,1,65,0
500000,81,47,0,3,1,1,43,1
750000,10,33,11,1,0,0,31,0
100000,67,49,1,4,1,0,31,0
2000000,30,44,17,4,1,0,25,1
2000000,48,30,14,4,1,0,62,1
750000,63,25,4,2,0,1,20,1
5000000,48,40,10,1,0,1,29,1
500000,89,29,0,1,0,0,43,0
5000000,66,12,17,5,1,0,40,1
200000,4,35,7,6,1,1,39,1
500000,72,42,18,2,1,0,36,0
750000,70,6,2,4,0,1,19,0
300000,77,10,2,5,0,0,12,0
200000,73,29,8,1,1,1,53,1
500000,21,19,20,5,0,1,49,0
300000,36,36,9,4,0,0,69,0
500000,79,38,6,1,1,0,27,1
500000,49,50,18,4,1,0,12,1
2000000,79,24,16,3,1,0,25,1
1000000,41,38,12,4,0,0,43,1
300000,39,11,18,1,0,1,0,0
750000,69,41,19,1,0,0,3,1
5000000,89,8,10,5,0,1,42,0
300000,19,7,8,5,0,0,68,0
300000,9,39,3,3,0,0,44,1
500000,72,31,4,3,0,1,19,1
500000,69,0,12,5,1,1,51,1
1000000,65,7,18,6,1,0,69,1
1000000,43,30,9,1,0,1,20,1
1000000,14,28,4,6,1,1,12,1
1000000,51,5,2,6,1,1,39,0
1000000,0,5,18,2,1,1,38,1
2000000,88,30,14,2,0,1,56,1
100000,40,17,5,3,1,1,68,1
5000000,2,30,18,4,1,0,52,0
750000,23,44,1,2,0,0,0,1
1000000,85,9,10,3,1,1,34,1
5000000,34,7,15,4,1,0,25,1
200000,53,28,12,5,0,1,42,0
2000000,42,43,17,2,0,1,0,0
100000,50,13,0,1,0,0,39,0
100000,79,45,13,6,1,1,37,0
2000000,51,17,7,5,0,0,72,1
2000000,17,48,5,3,1,0,15,1
2000000,29,34,2,5,1,1,12,1
2000000,4,28,4,2,1,0,11,1
750000,86,31,6,5,1,0,31,1
200000,77,23,2,3,1,0,60,0
500000,89,42,15,2,1,0,65,0
1000000,76,3,17,1,0,0,66,0
200000,33,49,5,4,1,1,39,0
300000,11,27,17,4,0,0,37,1
300000,11,4,10,3,0,0,8,0
500000,26,14,13,6,0,0,54,1
100000,57,25,9,3,1,0,28,1
200000,28,37,7,1,0,1,57,0
500000,87,10,16,6,1,0,27,0
750000,60,31,16,4,1,0,26,1
300000,72,4,8,5,1,1,54,0
200000,80,5,5,4,0,1,56,0
750000,82,13,9,3,0,0,62,0
200000,83,41,17,3,1,1,59,0
200000,35,31,9,4,1,1,67,0
500000,63,19,19,5,1,0,44,0
300000,32,20,2,6,1,1,46,0
100000,18,30,20,4,0,1,25,1
300000,1,40,14,5,0,1,41,0
1000000,13,44,19,5,0,0,60,1
200000,35,32,20,1,0,0,31,0
5000000,66,33,14,5,0,0,42,1
500000,32,11,1,3,0,0,44,0
100000,67,18,19,1,0,0,67,0
300000,1,42,2,6,1,0,6,1
300000,61,16,7,2,0,0,64,0
5000000,11,24,15,2,0,1,70,0
2000000,64,4,2,1,1,0,2,0
100000,59,29,15,4,0,0,24,0
300000,67,26,10,6,1,1,52,0
5000000,80,10,11,6,0,0,34,1
500000,41,4,4,6,1,0,57,1
500000,41,33,14,2,1,1,20,1
1000000,6,17,7,6,1,1,10,1
200000,83,50,6,3,1,0,1,1
200000,27,3,6,2,1,1,30,0
5000000,34,47,7,6,0,0,48,0
300000,24,24,7,5,1,1,69,1
300000,87,6,10,3,0,0,58,0
500000,89,44,18,4,1,0,53,1
500000,18,22,6,5,1,0,61,1
100000,41,30,18,5,0,1,18,0
300000,23,7,12,2,0,1,22,0
200000,35,20,14,4,1,1,5,0
750000,57,18,6,3,1,1,10,0
300000,27,46,15,6,0,0,40,1
300000,37,23,10,6,1,0,20,0
300000,11,0,10,3,0,0,2,0
200000,59,7,7,6,1,0,33,0
100000,22,21,14,4,0,1,14,0
2000000,44,34,10,1,1,1,38,1
5000000,37,10,1,4,1,1,15,0
1000000,53,5,16,4,1,0,1,1
750000,1,41,20,2,1,1,17,0
1000000,90,36,16,1,1,0,12,0
100000,13,46,12,4,1,1,57,1
200000,76,22,20,1,1,0,4,1
200000,15,12,8,3,1,1,26,0
5000000,85,11,3,2,1,1,32,0
500000,76,36,4,4,0,0,35,1
500000,24,20,10,4,0,0,52,1
300000,47,21,16,4,1,0,59,1
200000,16,15,17,6,1,0,71,1
100000,21,24,4,4,0,0,44,1
1000000,40,24,11,6,1,0,4,1
100000,42,49,12,3,0,1,16,0
2000000,54,44,20,6,0,1,44,1
750000,41,24,0,3,0,0,37,0
100000,35,44,12,5,0,1,16,0
100000,1,15,20,3,0,0,35,0
200000,79,31,2,4,0,1,16,0
100000,83,33,10,3,0,0,41,0
100000,36,44,0,6,1,1,53,0
500000,87,27,6,3,0,0,23,1
750000,0,26,2,3,1,0,43,0
500000,42,41,15,4,1,1,16,0
750000,51,40,12,2,0,1,71,1
200000,46,26,1,5,0,1,2,0
200000,40,9,1,3,0,1,30,0
200000,86,6,3,4,0,0,35,0
2000000,21,14,14,4,0,1,2,1
1000000,38,16,8,1,0,0,65,1
2000000,76,50,20,1,0,0,25,1
500000,18,11,12,5,0,0,57,1
100000,59,46,13,1,0,1,30,0
5000000,24,19,13,4,0,1,43,0
200000,57,7,4,5,1,0,71,0
100000,11,35,14,3,0,0,14,1
300000,50,42,0,3,0,0,68,0
750000,11,44,18,4,0,1,43,1
750000,27,17,19,3,0,1,15,0
500000,24,7,4,3,0,0,67,0
2000000,78,26,3,2,0,0,8,1
500000,40,24,18,6,1,1,44,0
