budget,urgency,views,saves,bedrooms,preapproved,open_house,agent_response_hours,buyer_readiness_score,engagement_score,speed_penalty,converted
500000,43,35,10,6,0,0,65,30,50.0,90.27777777777779,0
100000,51,17,1,2,1,1,33,40,38.5,45.83333333333333,0
300000,66,21,18,2,1,1,34,40,68.0,47.22222222222222,1
200000,6,24,11,2,1,0,52,70,40.5,72.22222222222221,0
1000000,57,36,8,6,0,0,54,30,48.0,75.0,1
1000000,36,43,4,4,0,1,55,30,69.0,76.38888888888889,1
2000000,81,39,2,4,0,0,33,30,42.0,45.83333333333333,0
100000,86,32,14,5,1,0,44,40,53.0,61.111111111111114,0
750000,56,4,16,5,0,1,56,30,48.0,77.77777777777779,0
5000000,25,2,0,6,1,0,29,100,2.0,40.27777777777778,0
2000000,14,21,14,4,1,0,32,100,42.0,44.44444444444444,1
2000000,77,16,14,5,0,1,37,30,57.0,51.388888888888886,0
1000000,58,12,20,5,1,0,23,70,42.0,31.944444444444443,1
100000,45,24,11,6,0,1,19,0,60.5,26.38888888888889,0
200000,85,21,2,6,1,0,8,40,24.0,11.11111111111111,0
750000,33,18,10,4,1,0,7,70,33.0,9.722222222222223,1
100000,61,34,10,2,1,1,18,40,69.0,25.0,1
2000000,12,32,10,3,1,1,44,100,67.0,61.111111111111114,1
300000,60,4,4,3,1,1,66,40,30.0,91.66666666666666,0
200000,50,43,16,2,1,0,46,40,67.0,63.888888888888886,0
500000,6,13,7,3,0,1,57,60,43.5,79.16666666666666,0
200000,57,42,3,3,0,1,64,0,66.5,88.88888888888889,0
1000000,50,20,15,1,1,0,22,70,42.5,30.555555555555557,1
1000000,49,2,10,1,1,1,36,70,37.0,50.0,1
2000000,17,26,15,6,1,1,67,100,68.5,93.05555555555556,1
500000,28,26,15,1,0,0,47,60,48.5,65.27777777777779,1
100000,76,4,2,3,1,0,22,40,7.0,30.555555555555557,0
100000,69,34,5,1,0,1,54,0,61.5,75.0,0
200000,25,32,6,2,0,1,61,30,61.0,84.72222222222221,1
500000,67,24,0,5,1,0,28,70,24.0,38.88888888888889,0
500000,57,24,16,3,1,1,25,70,68.0,34.72222222222222,0
200000,30,14,8,6,0,0,23,30,26.0,31.944444444444443,0
2000000,18,48,0,3,1,0,5,100,48.0,6.944444444444445,1
1000000,61,25,13,6,1,0,40,70,44.5,55.55555555555556,1
200000,1,49,9,4,1,1,60,70,82.5,83.33333333333334,0
500000,3,43,4,2,0,0,67,60,49.0,93.05555555555556,0
1000000,83,10,18,6,0,1,63,30,57.0,87.5,1
1000000,47,20,15,4,1,0,59,70,42.5,81.94444444444444,1
2000000,83,42,7,6,0,1,50,30,72.5,69.44444444444444,1
2000000,72,36,11,4,0,0,3,30,52.5,4.166666666666666,0
200000,18,35,6,1,1,0,26,70,44.0,36.11111111111111,1
2000000,89,50,8,3,1,1,5,70,82.0,6.944444444444445,1
5000000,59,18,4,1,1,1,22,70,44.0,30.555555555555557,1
200000,12,45,11,5,1,1,68,70,81.5,94.44444444444444,1
200000,15,28,0,4,1,1,33,70,48.0,45.83333333333333,1
200000,79,3,1,5,0,1,39,0,24.5,54.166666666666664,0
5000000,49,11,2,1,0,0,51,30,14.0,70.83333333333334,0
300000,7,29,16,3,0,1,9,30,73.0,12.5,1
750000,39,22,3,2,0,1,28,30,46.5,38.88888888888889,0
300000,17,21,7,3,0,1,47,30,51.5,65.27777777777779,1
750000,79,47,10,1,0,1,69,30,82.0,95.83333333333334,1
1000000,49,29,2,1,1,0,10,70,31.999999999999996,13.88888888888889,1
100000,63,43,1,5,1,0,21,40,44.5,29.166666666666668,0
750000,48,7,19,1,0,0,40,30,35.5,55.55555555555556,0
5000000,68,13,9,1,0,1,20,30,46.5,27.77777777777778,1
200000,67,7,5,4,0,1,41,0,34.5,56.94444444444444,0
5000000,75,29,1,5,1,1,33,70,50.5,45.83333333333333,1
500000,27,1,5,5,1,0,71,100,8.5,98.61111111111111,1
2000000,62,32,18,4,0,0,66,30,59.0,91.66666666666666,1
200000,56,21,16,1,1,0,45,40,45.0,62.5,1
100000,38,49,19,6,1,1,14,40,97.5,19.444444444444446,1
500000,52,34,4,5,1,1,38,70,60.0,52.77777777777778,0
750000,50,17,2,3,1,1,65,70,40.0,90.27777777777779,1
2000000,63,39,18,1,1,0,26,70,66.0,36.11111111111111,1
2000000,7,1,1,3,0,0,46,60,2.5,63.888888888888886,0
100000,15,2,6,2,1,1,1,70,31.0,1.3888888888888888,1
1000000,3,8,4,2,0,0,32,60,14.0,44.44444444444444,1
500000,16,29,15,6,1,0,24,100,51.5,33.33333333333333,0
100000,25,24,7,3,0,1,50,30,54.5,69.44444444444444,1
200000,40,32,20,4,1,0,21,40,62.0,29.166666666666668,1
5000000,82,31,1,1,0,0,2,30,32.5,2.7777777777777777,0
200000,57,31,5,2,0,1,63,0,58.5,87.5,0
500000,4,44,3,4,1,1,22,100,68.5,30.555555555555557,1
1000000,13,46,18,1,0,0,62,60,73.0,86.11111111111111,1
2000000,52,49,13,1,0,0,46,30,68.5,63.888888888888886,1
750000,88,16,16,4,0,0,24,30,40.0,33.33333333333333,1
2000000,59,4,20,6,1,1,68,70,54.0,94.44444444444444,1
200000,29,44,20,6,0,0,17,30,74.0,23.61111111111111,1
1000000,8,19,19,3,0,0,13,60,47.5,18.055555555555554,0
200000,82,1,20,2,0,0,64,0,31.0,88.88888888888889,0
1000000,18,21,10,2,0,0,43,60,36.0,59.72222222222222,1
300000,47,32,5,2,1,1,30,40,59.5,41.66666666666667,1
500000,18,46,12,1,0,1,49,60,84.0,68.05555555555556,0
500000,38,35,18,6,0,1,13,30,82.0,18.055555555555554,0
300000,20,24,13,4,0,1,51,30,63.5,70.83333333333334,1
500000,66,27,9,3,1,0,1,70,40.5,1.3888888888888888,1
1000000,63,44,4,5,1,0,65,70,50.0,90.27777777777779,0
100000,20,46,9,6,0,1,24,30,79.5,33.33333333333333,1
200000,89,40,11,1,1,0,65,40,56.5,90.27777777777779,1
5000000,86,27,14,2,0,1,72,30,68.0,100.0,1
200000,57,0,10,1,0,1,39,0,35.0,54.166666666666664,0
100000,0,34,8,6,0,1,56,30,66.0,77.77777777777779,0
1000000,33,3,20,6,0,0,47,30,33.0,65.27777777777779,0
200000,22,37,20,6,1,0,22,70,67.0,30.555555555555557,0
100000,56,11,14,6,0,1,47,0,52.0,65.27777777777779,0
100000,10,36,20,1,1,0,24,70,66.0,33.33333333333333,0
300000,28,39,19,5,1,1,5,70,87.5,6.944444444444445,1
200000,9,49,16,2,0,0,67,30,73.0,93.05555555555556,1
500000,46,20,13,3,0,0,67,30,39.5,93.05555555555556,1
5000000,64,44,15,6,0,0,29,30,66.5,40.27777777777778,1
750000,10,50,15,2,1,1,9,100,92.5,12.5,1
750000,53,27,17,4,0,0,72,30,52.5,100.0,1
750000,28,8,18,2,0,0,7,60,35.0,9.722222222222223,1
100000,44,39,18,2,1,0,47,40,66.0,65.27777777777779,0
100000,3,47,12,5,0,1,42,30,85.0,58.333333333333336,0
2000000,77,27,13,6,0,1,55,30,66.5,76.38888888888889,1
300000,48,35,7,2,1,0,15,40,45.5,20.833333333333336,0
2000000,20,3,19,3,0,1,51,60,51.5,70.83333333333334,1
5000000,28,2,7,6,1,1,12,100,32.5,16.666666666666664,1
200000,68,47,6,5,1,1,5,40,76.0,6.944444444444445,0
1000000,43,38,19,6,0,1,55,30,86.5,76.38888888888889,0
500000,31,42,14,3,1,1,27,70,83.0,37.5,1
300000,61,2,9,2,0,1,27,0,35.5,37.5,0
1000000,71,25,15,6,0,1,68,30,67.5,94.44444444444444,1
5000000,78,13,10,6,1,0,14,70,28.0,19.444444444444446,1
750000,8,5,8,4,1,0,13,100,17.0,18.055555555555554,1
500000,3,6,7,4,1,1,13,100,36.5,18.055555555555554,1
500000,21,9,19,3,1,0,62,100,37.5,86.11111111111111,1
5000000,23,6,5,5,0,1,66,60,33.5,91.66666666666666,1
200000,33,22,1,5,0,1,36,0,43.5,50.0,0
750000,68,10,10,2,0,1,29,30,45.0,40.27777777777778,0
5000000,12,31,9,2,0,0,19,60,44.5,26.38888888888889,1
100000,2,3,10,6,1,1,10,70,38.0,13.88888888888889,1
2000000,63,33,14,3,0,0,20,30,54.0,27.77777777777778,1
200000,1,24,15,3,0,1,13,30,66.5,18.055555555555554,1
500000,56,48,14,6,1,1,7,70,89.0,9.722222222222223,1
300000,8,17,6,5,0,1,48,30,46.0,66.66666666666666,1
750000,55,24,6,1,1,1,8,70,53.0,11.11111111111111,1
5000000,47,27,4,1,1,0,49,70,33.0,68.05555555555556,1
2000000,9,8,7,3,0,1,67,60,38.5,93.05555555555556,1
500000,64,35,1,4,0,0,60,30,36.5,83.33333333333334,0
5000000,90,1,11,4,0,1,38,30,37.5,52.77777777777778,0
200000,87,21,9,6,1,0,28,40,34.5,38.88888888888889,1
5000000,85,47,4,1,1,1,63,70,73.0,87.5,0
1000000,14,0,17,6,1,0,40,100,25.5,55.55555555555556,1
200000,14,21,19,5,0,1,17,30,69.5,23.61111111111111,0
200000,35,3,9,1,1,1,52,40,36.5,72.22222222222221,0
200000,28,8,13,3,1,0,16,70,27.5,22.22222222222222,0
500000,17,35,12,2,1,0,29,100,53.0,40.27777777777778,1
500000,22,8,20,1,1,1,4,100,58.0,5.555555555555555,0
1000000,5,4,9,1,0,0,69,60,17.5,95.83333333333334,0
200000,40,47,6,2,1,1,22,40,76.0,30.555555555555557,1
750000,15,2,1,5,1,1,58,100,23.5,80.55555555555556,1
500000,73,4,17,6,0,0,4,30,29.5,5.555555555555555,0
5000000,26,11,17,5,1,1,54,100,56.5,75.0,0
100000,17,2,18,4,0,0,36,30,29.0,50.0,0
100000,43,47,2,3,0,1,5,0,70.0,6.944444444444445,0
2000000,19,44,0,6,1,1,61,100,64.0,84.72222222222221,1
300000,26,49,20,3,1,1,9,70,99.0,12.5,0
750000,80,9,4,1,0,1,45,30,35.0,62.5,0
5000000,6,39,4,2,1,1,59,100,65.0,81.94444444444444,1
500000,41,48,2,6,0,0,40,30,51.0,55.55555555555556,0
100000,48,2,2,3,0,1,62,0,25.0,86.11111111111111,0
5000000,68,5,3,3,0,0,18,30,9.5,25.0,0
1000000,25,47,12,2,1,0,72,100,65.0,100.0,1
5000000,88,22,16,5,1,0,5,70,46.0,6.944444444444445,0
750000,79,46,16,3,0,1,35,30,90.0,48.61111111111111,1
750000,65,42,14,6,1,0,33,70,63.0,45.83333333333333,0
500000,62,29,5,5,0,1,2,30,56.5,2.7777777777777777,1
1000000,40,25,17,3,0,0,53,30,50.5,73.61111111111111,0
5000000,82,33,8,6,0,0,54,30,45.0,75.0,1
100000,13,48,19,3,1,1,48,70,96.5,66.66666666666666,1
500000,17,27,1,3,0,1,49,60,48.5,68.05555555555556,1
750000,24,5,14,6,0,0,56,60,26.0,77.77777777777779,1
200000,42,7,0,3,1,0,35,40,7.000000000000001,48.61111111111111,0
200000,17,12,12,1,1,1,52,70,50.0,72.22222222222221,1
300000,54,27,3,4,0,0,69,0,31.5,95.83333333333334,0
100000,75,15,1,6,0,1,54,0,36.5,75.0,0
2000000,38,40,4,2,0,1,60,30,66.0,83.33333333333334,0
2000000,60,4,11,2,1,1,0,70,40.5,0.0,1
500000,2,27,18,1,0,0,18,60,54.0,25.0,0
300000,24,4,8,4,0,1,31,30,36.0,43.05555555555556,0
100000,84,47,4,1,1,0,66,40,53.0,91.66666666666666,0
750000,0,9,2,6,1,0,54,100,12.0,75.0,1
750000,8,48,14,1,1,0,56,100,69.0,77.77777777777779,0
750000,84,19,4,6,1,0,41,70,25.0,56.94444444444444,1
200000,67,50,20,5,0,1,9,0,100.0,12.5,0
5000000,89,46,20,3,1,0,38,70,76.0,52.77777777777778,1
2000000,36,6,8,6,0,0,25,30,18.0,34.72222222222222,0
200000,32,31,19,4,0,1,1,0,79.5,1.3888888888888888,0
1000000,82,23,20,6,1,0,70,70,53.0,97.22222222222221,0
1000000,14,41,19,5,1,0,31,100,69.5,43.05555555555556,0
200000,72,28,18,5,1,0,27,40,55.0,37.5,1
5000000,69,0,11,2,1,0,30,70,16.5,41.66666666666667,1
750000,36,39,1,5,1,0,41,70,40.5,56.94444444444444,1
5000000,49,6,5,4,1,0,2,70,13.5,2.7777777777777777,1
5000000,61,25,19,3,0,0,1,30,53.5,1.3888888888888888,0
200000,82,11,8,6,1,0,52,40,23.0,72.22222222222221,1
2000000,75,13,13,4,1,1,67,70,52.5,93.05555555555556,1
100000,56,2,18,6,1,1,29,40,49.0,40.27777777777778,0
200000,42,40,8,1,0,0,72,0,52.0,100.0,0
300000,0,45,20,3,1,1,72,70,95.0,100.0,1
1000000,70,0,1,2,1,1,29,70,21.5,40.27777777777778,0
100000,41,0,18,4,0,0,51,0,27.0,70.83333333333334,0
100000,31,29,9,5,0,1,44,0,62.5,61.111111111111114,0
5000000,29,33,1,4,0,1,43,60,54.5,59.72222222222222,1
300000,34,38,5,4,0,0,2,0,45.5,2.7777777777777777,0
500000,71,2,0,1,0,0,27,30,2.0,37.5,0
200000,34,35,9,6,0,0,42,0,48.5,58.333333333333336,0
2000000,47,48,0,6,1,0,7,70,48.0,9.722222222222223,1
200000,69,38,2,1,0,0,30,0,41.0,41.66666666666667,0
300000,25,0,14,3,0,1,47,30,41.0,65.27777777777779,0
1000000,0,17,17,1,0,1,30,60,62.5,41.66666666666667,1
750000,37,34,18,6,1,0,71,70,61.0,98.61111111111111,0
100000,37,39,15,6,0,0,57,0,61.5,79.16666666666666,0
1000000,50,43,11,1,1,0,70,70,59.5,97.22222222222221,0
750000,90,11,1,6,0,1,35,30,32.5,48.61111111111111,0
1000000,14,10,15,2,1,0,32,100,32.5,44.44444444444444,1
200000,53,27,10,4,1,0,71,40,42.0,98.61111111111111,1
1000000,87,24,12,6,1,0,70,70,42.0,97.22222222222221,1
300000,39,5,17,5,1,1,1,40,50.5,1.3888888888888888,0
300000,2,6,8,4,1,1,27,70,38.0,37.5,1
200000,14,16,5,6,1,0,10,70,23.5,13.88888888888889,1
500000,87,9,6,1,1,0,9,70,18.0,12.5,0
500000,21,8,19,1,0,0,4,60,36.5,5.555555555555555,1
750000,21,22,16,5,1,0,19,100,46.0,26.38888888888889,0
5000000,4,19,6,2,1,0,71,100,28.0,98.61111111111111,1
200000,64,41,10,5,1,0,23,40,56.0,31.944444444444443,1
2000000,25,41,19,6,0,0,55,60,69.5,76.38888888888889,1
750000,3,36,11,1,1,0,0,100,52.5,0.0,1
2000000,48,25,12,4,1,1,52,70,63.0,72.22222222222221,1
500000,42,38,16,3,1,0,33,70,62.0,45.83333333333333,0
750000,58,13,18,1,0,0,67,30,40.0,93.05555555555556,0
5000000,26,14,8,6,1,1,5,100,46.0,6.944444444444445,1
100000,42,7,19,1,0,1,44,0,55.5,61.111111111111114,0
1000000,35,27,9,3,0,1,44,30,60.5,61.111111111111114,0
750000,44,37,14,4,0,1,69,30,78.0,95.83333333333334,0
2000000,2,50,18,1,1,1,63,100,97.0,87.5,1
500000,32,17,0,1,0,1,51,30,37.0,70.83333333333334,0
500000,68,19,16,3,1,0,52,70,43.0,72.22222222222221,1
2000000,33,31,18,1,0,0,56,30,58.0,77.77777777777779,1
200000,70,4,5,2,1,0,63,40,11.5,87.5,0
1000000,63,41,5,2,1,0,25,70,48.5,34.72222222222222,1
200000,62,26,18,5,0,0,20,0,53.0,27.77777777777778,0
200000,43,42,1,2,0,0,28,0,43.5,38.88888888888889,0
500000,75,34,18,1,0,0,34,30,61.0,47.22222222222222,0
2000000,61,47,7,4,0,0,56,30,57.5,77.77777777777779,1
1000000,14,34,8,3,1,0,10,100,46.0,13.88888888888889,1
200000,50,33,11,2,0,0,9,0,49.5,12.5,0
5000000,8,3,7,3,1,0,44,100,13.5,61.111111111111114,1
500000,8,39,18,1,0,1,41,60,86.0,56.94444444444444,1
750000,30,30,18,4,0,0,63,60,57.0,87.5,1
300000,89,5,1,3,0,1,35,0,26.5,48.61111111111111,0
100000,30,14,13,6,0,0,44,30,33.5,61.111111111111114,1
2000000,19,41,7,6,0,0,35,60,51.5,48.61111111111111,1
1000000,36,9,5,2,1,0,46,70,16.5,63.888888888888886,0
5000000,1,44,16,6,1,0,27,100,68.0,37.5,1
5000000,27,21,4,6,0,1,40,60,47.0,55.55555555555556,1
750000,6,44,15,4,1,1,23,100,86.5,31.944444444444443,1
200000,62,35,16,3,1,1,40,40,79.0,55.55555555555556,1
2000000,20,40,19,3,0,1,39,60,88.5,54.166666666666664,1
500000,9,22,16,4,0,0,55,60,46.0,76.38888888888889,1
200000,14,19,10,5,1,1,64,70,54.0,88.88888888888889,1
500000,28,22,5,4,1,0,38,100,29.5,52.77777777777778,0
200000,51,4,17,5,0,0,10,0,29.5,13.88888888888889,0
200000,48,10,16,6,0,1,7,0,54.0,9.722222222222223,0
200000,87,7,17,2,0,1,36,0,52.5,50.0,0
1000000,24,27,8,4,0,1,9,60,59.0,12.5,1
300000,9,45,16,2,1,0,9,70,69.0,12.5,1
100000,57,3,20,4,0,0,47,0,33.0,65.27777777777779,0
100000,51,38,17,2,1,0,42,40,63.5,58.333333333333336,1
2000000,90,30,15,4,0,0,32,30,52.5,44.44444444444444,1
200000,54,21,4,3,0,0,36,0,27.0,50.0,0
300000,76,32,5,2,0,0,72,0,39.5,100.0,0
5000000,54,17,3,2,0,1,35,30,41.5,48.61111111111111,0
200000,22,20,3,3,1,0,60,70,24.5,83.33333333333334,1
200000,30,30,4,4,0,0,48,30,36.0,66.66666666666666,1
2000000,53,41,17,5,0,0,28,30,66.5,38.88888888888889,1
500000,46,21,0,4,0,0,49,30,21.0,68.05555555555556,0
200000,39,10,4,1,1,1,0,40,36.0,0.0,0
500000,5,43,18,1,1,0,45,100,70.0,62.5,1
200000,24,10,12,4,1,0,23,70,28.0,31.944444444444443,0
2000000,77,44,15,2,0,1,28,30,86.5,38.88888888888889,1
750000,60,29,5,2,0,1,6,30,56.5,8.333333333333332,1
100000,29,10,14,4,0,1,52,30,51.0,72.22222222222221,0
2000000,77,18,2,6,0,1,8,30,41.0,11.11111111111111,0
100000,40,33,19,1,1,1,66,40,81.5,91.66666666666666,1
5000000,58,22,4,2,1,1,56,70,48.0,77.77777777777779,1
200000,8,29,0,4,0,1,11,30,49.0,15.277777777777779,0
500000,52,15,8,4,1,0,56,70,27.0,77.77777777777779,0
2000000,20,1,4,3,1,0,15,100,7.0,20.833333333333336,0
1000000,45,21,7,3,0,1,22,30,51.5,30.555555555555557,0
500000,78,35,15,4,0,0,31,30,57.5,43.05555555555556,1
300000,52,6,14,2,0,1,40,0,47.0,55.55555555555556,0
2000000,20,29,15,2,0,0,8,60,51.5,11.11111111111111,1
500000,89,39,12,2,0,0,4,30,57.0,5.555555555555555,0
5000000,54,42,0,1,1,1,53,70,62.0,73.61111111111111,1
5000000,50,27,9,5,0,1,31,30,60.5,43.05555555555556,1
1000000,36,2,18,5,1,1,62,70,49.0,86.11111111111111,1
1000000,68,47,6,5,0,1,37,30,76.0,51.388888888888886,1
300000,30,13,1,2,1,0,27,70,14.5,37.5,1
5000000,49,8,2,6,1,1,66,70,31.0,91.66666666666666,0
300000,48,45,19,3,0,1,46,0,93.5,63.888888888888886,0
200000,87,17,0,6,1,1,47,40,37.0,65.27777777777779,0
500000,62,21,19,6,0,1,42,30,69.5,58.333333333333336,1
100000,63,39,6,1,1,1,49,40,68.0,68.05555555555556,1
2000000,21,12,10,1,1,1,8,100,47.0,11.11111111111111,1
1000000,57,9,11,4,1,0,62,70,25.5,86.11111111111111,0
100000,29,40,18,1,0,0,62,30,67.0,86.11111111111111,0
300000,26,35,0,6,0,0,22,30,35.0,30.555555555555557,0
500000,69,43,6,5,0,1,11,30,72.0,15.277777777777779,1
1000000,54,16,3,3,1,0,72,70,20.5,100.0,0
300000,77,7,0,2,1,0,21,40,7.000000000000001,29.166666666666668,0
5000000,76,31,10,2,0,1,42,30,66.0,58.333333333333336,1
200000,50,20,13,6,1,0,22,40,39.5,30.555555555555557,1
200000,21,3,20,1,1,1,71,70,53.0,98.61111111111111,1
5000000,54,36,13,1,0,1,46,30,75.5,63.888888888888886,1
200000,9,32,2,4,0,0,48,30,35.0,66.66666666666666,0
200000,73,10,16,1,0,0,62,0,34.0,86.11111111111111,0
500000,39,41,18,6,0,1,61,30,88.0,84.72222222222221,0
1000000,43,35,18,1,1,1,33,70,82.0,45.83333333333333,0
100000,73,25,8,1,1,1,0,40,57.0,0.0,1
1000000,55,31,19,2,1,0,70,70,59.5,97.22222222222221,0
500000,82,43,12,4,1,1,69,70,81.0,95.83333333333334,1
5000000,69,41,19,4,0,0,44,30,69.5,61.111111111111114,1
750000,80,15,7,3,0,1,2,30,45.5,2.7777777777777777,1
500000,39,31,3,3,0,1,18,30,55.5,25.0,1
5000000,13,42,10,1,1,1,6,100,77.0,8.333333333333332,1
5000000,32,37,6,6,1,0,17,70,46.0,23.61111111111111,1
5000000,47,39,2,6,1,1,35,70,62.0,48.61111111111111,1
750000,59,10,4,1,0,0,0,30,16.0,0.0,1
1000000,11,16,9,6,1,1,66,100,49.5,91.66666666666666,0
100000,54,20,5,6,1,1,58,40,47.5,80.55555555555556,0
2000000,61,49,4,3,0,0,37,30,55.0,51.388888888888886,1
1000000,40,15,0,1,0,0,60,30,15.0,83.33333333333334,0
300000,42,33,2,4,0,0,13,0,36.0,18.055555555555554,0
5000000,0,17,17,2,0,0,66,60,42.5,91.66666666666666,0
500000,19,5,1,1,1,0,55,100,6.5,76.38888888888889,0
500000,3,34,3,5,1,1,45,100,58.5,62.5,1
1000000,7,5,11,4,1,1,63,100,41.5,87.5,1
5000000,56,30,20,2,1,0,14,70,60.0,19.444444444444446,0
750000,23,16,6,6,1,0,56,100,25.0,77.77777777777779,1
